track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason
billboard_1965_02,billboard,1965,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1965_2_Four Tops_I Can't Help Myself (Sugar Pie Honey Bunch)_vocals.mp3,1965_2_Four Tops_I Can't Help Myself (Sugar Pie Honey Bunch)_vocals.mp3,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),pending,,,,,
billboard_1965_03,billboard,1965,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1965_3_The Rolling Stones_(I Can't Get No) Satisfaction_vocals.mp3,1965_3_The Rolling Stones_(I Can't Get No) Satisfaction_vocals.mp3,The Rolling Stones,(I Can't Get No) Satisfaction,pending,,,,,
billboard_1965_04,billboard,1965,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1965_4_We Five_You Were On My Mind_vocals.mp3,1965_4_We Five_You Were On My Mind_vocals.mp3,We Five,You Were On My Mind,pending,,,,,
billboard_1965_05,billboard,1965,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1965_5_The Righteous Brothers_You've Lost That Lovin' Feelin'_vocals.mp3,1965_5_The Righteous Brothers_You've Lost That Lovin' Feelin'_vocals.mp3,The Righteous Brothers,You've Lost That Lovin' Feelin',pending,,,,,
billboard_1966_01,billboard,1966,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1966_1_The Mamas & The Papas_California Dreamin'_vocals.mp3,1966_1_The Mamas & The Papas_California Dreamin'_vocals.mp3,The Mamas & The Papas,California Dreamin',pending,,,,,
billboard_1966_02,billboard,1966,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1966_2_? and the Mysterians_96 Tears_vocals.mp3,1966_2_? and the Mysterians_96 Tears_vocals.mp3,? and the Mysterians,96 Tears,pending,,,,,
billboard_1966_03,billboard,1966,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1966_3_Jimmy Ruffin_What Becomes Of The Brokenhearted_vocals.mp3,1966_3_Jimmy Ruffin_What Becomes Of The Brokenhearted_vocals.mp3,Jimmy Ruffin,What Becomes Of The Brokenhearted,pending,,,,,
billboard_1966_04,billboard,1966,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1966_4_The Monkees_Last Train to Clarksville_vocals.mp3,1966_4_The Monkees_Last Train to Clarksville_vocals.mp3,The Monkees,Last Train to Clarksville,pending,,,,,
billboard_1966_05,billboard,1966,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1966_5_Four Tops_Reach Out I'll Be There_vocals.mp3,1966_5_Four Tops_Reach Out I'll Be There_vocals.mp3,Four Tops,Reach Out I'll Be There,pending,,,,,
billboard_1967_01,billboard,1967,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_1_Lulu_To Sir With Love_vocals.mp3,1967_1_Lulu_To Sir With Love_vocals.mp3,Lulu,To Sir With Love,pending,,,,,
billboard_1967_02,billboard,1967,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_2_The Box Tops_The Letter_vocals.mp3,1967_2_The Box Tops_The Letter_vocals.mp3,The Box Tops,The Letter,pending,,,,,
billboard_1967_03,billboard,1967,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_3_Bobbie Gentry_Ode to Billie Joe_vocals.mp3,1967_3_Bobbie Gentry_Ode to Billie Joe_vocals.mp3,Bobbie Gentry,Ode to Billie Joe,pending,,,,,
billboard_1967_04,billboard,1967,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_4_The Association_Windy_vocals.mp3,1967_4_The Association_Windy_vocals.mp3,The Association,Windy,pending,,,,,
billboard_1967_05,billboard,1967,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_5_The Monkees_I'm a Believer_vocals.mp3,1967_5_The Monkees_I'm a Believer_vocals.mp3,The Monkees,I'm a Believer,pending,,,,,
billboard_1968_01,billboard,1968,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1968_1_The Beatles_Hey Jude_vocals.mp3,1968_1_The Beatles_Hey Jude_vocals.mp3,The Beatles,Hey Jude,pending,,,,,
